,Joke,category,Rating
2508,"A moron walks into a bar with a pile of dog crap in his hands and says, ""Hey guys, look what I almost stepped in.""",Idiots,1.0
2743,"A group of hikers were being led through the wilderness by a guide. On the third day, the hikers noticed that they had been travelling in circles. ""We're lost!"" One of the men complained. ""I thought you said you were the best guide in the United States."" ""I am,"" the guide answered, ""but I think we may be in Canada now.""",Idiots,0.6000000000000001
1146,What do the Star Ship Enterprise and toilet paper have in common? They both circle Uranus searching for Klingons.,Idiots,0.4
1251,"A man is at his lawyer's funeral and and is surprised by the turnout for this one man. He turns to the people around him. ""Why are you all at this man's funeral?"" A man turns towards him and says, ""We're all clients."" ""And you ALL came to pay your respects? How touching."" ""No, we came to make sure he was dead.""",Lawyers,0.4
1239,Q: What's the difference between a lawyer getting hit by a car and a dog getting hit by a car?A: There's skid marks before the dog.,Lawyers,0.6000000000000001
2010,Q: What's brown and black and looks good on a lawyer?A: A pitbull.Did you hear about the new dog breed in pet shops? They crossed a pitbull with a collie. First it bites your leg off and then it goes for help.,Lawyers,0.4
1259,"Q. Why are lawyers like nuclear weapons? A. If one side has one, the other side has to get one. Once launched, they cannot be recalled. When they land, they screw up everything forever.",Lawyers,0.6000000000000001
1223,"Lawyer: I have some good news and some bad news. Client: Well, give me the bad news first. Lawyer: The bad news is that the DNA tests showed that it was your blood they found all over the crime scene Client: Oh no! I'm ruined! What's the good news? Lawyer: The good news is your cholesterol is down to 130!",Lawyers,0.4
2825,"Q: How many frat guys does it take to screw in a light bulb? A: Three: One to screw it in, and the other two to help him down off the keg. A: Five: One to hold the bulb, and four to guzzle beer until the room spins. A: None. Frat boys screw in puddles of vomit.",Light Bulbs,0.4
2793,Q: How many 'Cliffie girls does it take to change a light bulb? A: It's ''Radcliffe Women'' and it's not funny!,Light Bulbs,0.4
2779,Q: How many Jewish mothers does it take to screw in a light bulb? A: None. (''That's all right...I'll just sit here in the dark...''),Light Bulbs,0.4
2766,Q: How many WASPs does it take to change a light bulb? A: Two. One to call the electrician and one to mix the martinis.,Light Bulbs,0.2
2846,"Q: How many TV comedians does it take to screw in a light bulb? A: Two, one to screw it in, and another to say ''Sock it to Me.'' (Notes: Sock it = Socket. Also, the phrase was from Laugh In.)",Light Bulbs,0.4
2813,Q: How does god change a light bulb? A: He holds the bulb and rotates the planet.,Light Bulbs,0.2
2803,"Q: How many gorillas does it take to screw in a light bulb? A: Only one, but it sure takes a sh*tload of light bulbs!",Light Bulbs,0.4
2783,Q: How many Marxists does it take to screw in a light bulb? A: None: The light bulb contains the seeds of its own revolution.,Light Bulbs,0.6000000000000001
2771,Q: How long will it take for a field service engineer to change a light bulb? A: That's indeterminate. It depends on how many dead bulbs they've brought with them.,Light Bulbs,0.4
2870,"Q: How many libertarians does it take to change a light bulb? A: Libertarians never change light bulbs, because someone might enter the room who wants to sit in the dark.",Light Bulbs,1.0
2832,Q: How many WASP Princesses does it take to screw in a light bulb? A: Two. One to get a Tab and one to call Daddy.,Light Bulbs,0.8
2848,"Q: How many mystery writers does it take to screw in a light bulb? A: Two, one to screw it almost all the way in and the other to give it a surprising twist at the end.",Light Bulbs,1.0
2830,"Q: How many Necrophiliacs does it take to screw in a light bulb? A: None. Necrophiliacs prefer dead bulbs. A: Only one. ''Oh, excuse me, could you please test the socket with your finger while I go get a new bulb?''",Light Bulbs,0.6000000000000001
2874,Q: How many presidential candidates does it take to change a light bulb? A: Fewer and fewer all the time.,Light Bulbs,0.6000000000000001
2811,"Q: How many public utility workers does it take to screw in a light bulb? A: 10. One to hold the bulb, 6 to rotate the ladder, and 3 to supervise.",Light Bulbs,0.2
2829,Q: How many a-holes does it take to change a light bulb? A: None; a-holes never see the light anyway.,Light Bulbs,1.0
2799,Q: How many Zen masters does it take to screw in a light bulb? A: A tree in a golden forest. A: Two: one to change the bulb and one not to change it. A: One to change and one not to change is fake Zen. The true Zen answer is Four. One to change the bulb. A:None. Zen masters carry their own light.,Light Bulbs,0.6000000000000001
2791,"Q: How many jugglers does it take to change a light bulb? A: One, but it takes at least three light bulbs.",Light Bulbs,0.6000000000000001
2862,"Q: How many poets does it take to change a light bulb? A: Three. One to curse the darkness, one to light a candle... and one to change the bulb.",Light Bulbs,1.0
2844,"Q: How many Chinese Red Guards does it take to screw in a light bulb? A: 10,000 - to give the bulb a cultural revolution.",Light Bulbs,0.6000000000000001
2797,"Q: How many data base people does it take to change a light bulb? A: Three: One to write the light bulb removal program, one to write the light bulb insertion program, and one to act as a light bulb administrator to make sure nobody else tries to change the light bulb at the same time.",Light Bulbs,0.8
2853,Q: How many existentialists does it take to screw in a light bulb? A: Two: One to screw it in and one to observe how the light bulb itself symbolizes a single incandescent beacon of subjective reality in a netherworld of endless absurdity reaching out toward a maudlin cosmos of nothingness.,Light Bulbs,1.0
1091,What bird represents freedom ?The EagleWhat bird represents peace ?The DoveWhat bird represents true love ?The Swallow,Love & Romance,0.4
2215,"If your dog is barking at the back door and your wife is yelling at the front door, who do you let in first? The dog of course. At least he'll shut up after you let him in.",Marriage,0.8
961,"A man comes home to find his wife packing her suitcase. He says ""Honey, what are you doing"". She says, ""I'm leaving you, I want a divorce.""The husband says, ""But why, what's wrong?""The wife says, ""I just found out that you are a pedophile""The husband says, ""Whoa, that's an awful big word for a 10-year old.""",Marriage,0.4
1966,"When met by a long procession of people led by a man with a dog, Joe asked the man: ""Who died?""""My Mother in law.""""How?"" Joe asked.""The dog bit her.""""Can I borrow the dog?""""Get in line.""",Marriage,0.4
833,"A married couple is sleeping when the phone rings at 3 a.m. The wife picks up the phone and, after a few seconds, replies,""How am I supposed to know? We're 200 miles inland!""and hangs up. Her husband rolls over and asks,""Sweetheart, who was that?"" ""I don't know,some idiot asking if the coast is clear.""",Marriage,0.8
689,"As a old man was driving down the freeway, his car phone rang.Answering, he heard his wife's voice urgently warning him,""Herman, I just heard on the news that there's a car going the wrong way on Route 280. Please be careful!""""It's not just one car,"" said Herman, ""It's hundreds of them!""",Marriage,0.534
1017,"Mary went to the doctor complaining of body odor.""Do you wash?"" the doctor asked the smelly young girl.""Oh, yes,"" Mary answered. ""Each morning, I start at my head andwash down as far as possible. Then I start at my feet and I washup as far as possible.""""Well,"" the doctor concluded, ""Go home and wash 'possible'!!!""",Medical,0.2
922,Michael Jackson was announced that he is the proud father of a baby boy. He asked his wife's doctor how soon after the birth could he have sex. The doctor told him he should wait until the kid is at least 12 or 13 years old.,Medical,0.9
3204,Announcement: the Mental-Illness-of-the-Month Club is being disbanded immediately. The reasons being:,Medical,1.0
3215,Hello! Welcome to the Psychiatric Hotline!,Medical,1.0
3190,".......""Doctor, I have an ear ache.""",Medical,0.8
3203,Medical Truths,Medical,0.6000000000000001
2525,Did you hear about the accident at the army base? A jeep ran over a box of popcorn & killed 2 colonels,Military,1.0
917,"Michael Jackson was on a cruise with 100 Boy Scouts when the ship hit an iceberg and started to sink. The captain announced, ""Everyone abandon ship! We're going down!"" Michael asked, ""What about the children?"" The captain replied, ""Screw the children!"" Michael looked around eagerly and asked, ""Do we have time?""",Military,0.6000000000000001
1010,"This is a transcript of an ACTUAL radio communication between a U.S. NAVY ship and Canadian authorities off the cost of Newfoundland, October 1995. Radio log released by the Chief of Naval Operations 10/10/95: WILL BE UNDERTAKEN TO ENSURE THE SAFETY OF THIS SHIP.",Military,1.0
733,"As the storm raged, the captain realized his ship was sinking fast. He called out, ""Anyone here know how to pray?"" One man stepped forward. ""Aye, Captain, I know how to pray."" ""Good,"" said the captain, ""you pray while the rest of us put on our life jackets - we're one short.""",Military,0.8
3426,There is a lot of talk about the United Nations creating a combined strike force with troops from several nations included in it. Could it work? Let's take a look at one operation. A combined force beach landing on a tropical island. When the troops hit the beach...,Military,0.6000000000000001
1113,"There is a black man , and australian aborigine and a samoan in a car.Who is driving ???---- Police officer",Military,1.0
3438,These are actual lines out of OER (Officer Efficiency Report) performance appraisal for the military.,Military,0.6000000000000001
2435,"My arm started to hurt me so I asked a doctor to examine it. She looked at my arm and brought out a medical book and studies it for about 10 minutes. Then she said to me, ""Have you ever had that pain before?""I nodded yes. ""Well, you've got it again. """,Miscellaneous,0.2
1821,"Judi is explaining to Monika the bad day she'd had at work.Judi's boss had suffered a heart attack and died.Monika said, ""How horrible!What did you do?"" Judi shook her head.""There was nothing I *could* do.He kept yelling at me to call 9-1-1, but he wouldn't tell me the rest of the numbers!""",Miscellaneous,0.8
2693,"The man approached a very beautiful woman in a large supermarket and asked, ""You know, I've lost my wife here in the supermarket. Can you talk to me for a couple of minutes?"" ""Why?"" she asks. ""Because every time I talk to a beautiful woman, my wife appears out of nowhere.""",Miscellaneous,0.4
2031,"Two programmers walked along the street. They saw a beautiful blonde not far away and one of them said, ""Too bad that girls has no standard interface.""""They have,"" replied the other programmer, ""but there is no standard way to get to it.""",Miscellaneous,0.6000000000000001
1777,"Today's woman puts on wigs, fake eyelashes, false fingernails, sixteen pounds of assorted make-up/shadows/blushes/creams, living bras, various pads that would make a line-backer envious, has implants and assorted other surgeries, then complains that she cannot find a ""real"" man.",Miscellaneous,0.4
2705,"At the cocktail party, one woman said to another, ""Aren't you wearing your wedding ring on the wrong finger?"" The other replied, ""Yes, I am, I married the wrong man.""",Miscellaneous,0.6000000000000001
2305,"What did the blonde say to her doctor when he told her she was pregnant? She said, ""Is it mine?""",Miscellaneous,0.4
2733,What is the speed of dark?,Miscellaneous,1.0
2297,Why do men pass gas more than women? Because women won't shut up long enough to build up pressure.,Miscellaneous,0.6000000000000001
2663,Q: What do you have when 100 lawyers are buried up to their neck in sand?Not enough sand.,Miscellaneous,0.2
2535,Q. What's long and green and smells like pork?A. Kermit the frog's finger.,Miscellaneous,0.6000000000000001
2613,What did the light bulb say to the socket?I love you watts!!,Miscellaneous,0.4
2699,How do most men define marriage? A very expensive way to get your laundry done free.,Miscellaneous,0.8
2324,"An old Chinese couple is lying in bed late one night. The Old man turns to his wife and says, ""I want 69!""The old women looks confused, and then asks, ""Why you want beef and broccoli now?""",Miscellaneous,0.2
2188,What do you do when the dishwasher stops working? Slap her!,Miscellaneous,0.2
1988,"Waitress walks up to a man and says ""Hi, May I take your order please?"" The man replies, ""Yes, can I get the turtle soup please.""The waitress walks off to go get his order, but the man changes his mind and decides he wants pea soup instead. He calls for the waitress and says, ""Hold the turtle, make it pea!""",Miscellaneous,0.6000000000000001
3772,"Note: Tradewars is on online role-playing game where you are a spaceship captain, and roam a 5,000 sector universe trading and/or killing away. You also get to build things and gather colonists. Look for the game on local BBS' On your first game you most likely did the following:",Miscellaneous,0.6000000000000001
2202,What do you get when you cross a penis and a potato? A dictator.,Miscellaneous,1.0
1881,"Quasimodo goes to his Parisian Cathedral doctor for his annual checkup.""I think something is wrong with your back,"" the doctor says.""Why do you say that?"" asks Quasimodo.""I don't know,"" the doctor replies. ""It's just a hunch.""",Miscellaneous,0.8
2359,Q: What do you call a woman with half a brain? A: Gifted,Miscellaneous,0.4
2528,Q: Why did Bill Clinton quit playing the saxophone? A: Because he decided to play the hormonica,Miscellaneous,0.6000000000000001
2179,A positive orgasm is when your partner screams *YES!!* A negative orgasm is when your partner screams *NO!!* A fake orgasm is when they scream *insert your name here*,Miscellaneous,0.2
2401,"According to statistics, last year over 17 million American families paid a lot of money for things that looked funny and didn't work. Seven million of these were antiques; the rest were college students.",Money,0.4
2106,"I was attending church as a visitor several weeks ago and heard the following:""I have good news, and I have bad news.First, the bad news: we need a new roof.Next, the good news: we have the money to pay for it!(waits for pleased murmurs to recede)Next, more bad news: the money is still in your pockets.""",Money,0.9
1899,"The plumber presented his customer, a lawyer, with a bill charging rates of $500 an hour. The lawyer was outraged, saying ""I don't even make that kind of money - doesn't that seem a bit steep?"" The plumber replied, ""That's what I thought, when I was a lawyer.""",Money,0.8
2133,"""How can I ever thank you?"" gushed a woman to Clarence Darrow, after he had solved her legal troubles.""My dear woman,"" Darrow replied, ""ever since the Phoenicians invented money there has been only one answer to that question.""",Money,0.4
1967,"The plumber presented his customer, a lawyer, with a bill charging rates of $500 an hour. The lawyer was outraged, saying ""I don't even make that kind of money - doesn't that seem a bit steep?"" The plumber replied, ""That's what I thought, when I was a lawyer.""",Money,0.6000000000000001
1905,"A kid is asking questions about many professionals, when they urgently need to go to the rest rooms:",Music,0.22800000000000004
1712,"TOP 10 OLD FOLKS' PARTY GAMES1.Sag, You're It!2.Pin the Toupee on the Bald Guy3.20 Questions Shouted into your Good Ear4.Kick the Bucket5.Red Rover, Red Rover, the Nurse Says Bend Over6.Doc, Doc Goose7.Simon Says Something Incoherent8.Hide and Go Pee9.Spin the Bottle of Mylanta10.Musical Recliners",Music,0.534
1834,"TOP 10 OLD FOLKS' PARTY GAMES1.Sag, You're It!2.Pin the Toupee on the Bald Guy3.20 Questions Shouted into your Good Ear4.Kick the Bucket5.Red Rover, Red Rover, the Nurse Says Bend Over6.Doc, Doc Goose7.Simon Says Something Incoherent8.Hide and Go Pee9.Spin the Bottle of Mylanta10.Musical Recliners",Music,0.6000000000000001
2574,20 Very Short Books,Music,0.9
2731,20 Very Short Books,Music,0.4
649,"""Boss, I've got to have a raise,"" the salesman said to his sales manager. ""There are three other companies after me.""""Is that a fact?"" the manager asked. ""What other companies are after you?""""The electric company, the phone company, and the gas company.""",Office Jokes,0.9
2253,"An old guy goes to the doctor and gets some tests done. The doctor comes back from checking the results and says, ""I have some bad news. You have cancer and you have Alzheimer's."" The old man replies ""Oh thank god I don't have cancer!""",Old Age,0.4
3522,Great to use in chat rooms or on cell phones!,One Liners,0.4
3536,Great for those Email Signatures,One Liners,0.4
495,What does the dentist of the year get?...A little plaque.,One Liners,0.5
1672,I hope you never get a tetanus shot; maybe you'll windup with lockjaw.,One Liners,0.4
2181,A truck full of wigs has just tipped over.Police are now combing the area.,Police Jokes,0.2
865,"A turtle was walking down an alley in New York when he was mugged by a gang of snails. A police detective came to investigate and asked the turtle if he could explain what happened. The turtle looked at the detective with a confused look on his face and replied ""I don't know, it all happened so fast.""",Police Jokes,0.8
1486,"1st Officer: ""Guess who I pulled over in a traffic stop the other day?"" 2nd Officer: ""Who?"" 1st Officer: ""Janet Jackson!"" 2nd Officer: ""What she do, was she speeding?"" 1st Officer: ""Nah, she had one headlight out.""",Police Jokes,1.0
3572,The following exchanges are taken from transcripts of 911 calls.,Police Jokes,1.0
3591,"A dyslexic cop is severely reprimanded by his captain because the spelling on his police reports is incomprehensible. ""How can you expect anyone to read this! If you file just one more report with any and I mean *ANY* words misspelled, you are going on report!"" screams the captain.",Police Jokes,1.0
2658,Things Not To Say To A Cop,Police Jokes,1.0
2621,"Why did Clinton name his dog Buddy? He felt uncomfortable saying ""Come Spot!""",Political,0.8
3379,Dear Friends:,Political,0.4
2875,"""Bill Clinton's official portrait was unveiled at the White House yesterday. Don't kid yourself, there's already trouble. Yesterday, Clinton's portrait was caught hitting on Dolly Madison's portrait."" David Letterman",Political,0.6000000000000001
1308,"A 10pm curfew was imposed in Baghdad. Everybody had to be off the streets or risk being shot. However one citizen was shot at 9.45pm.""Why did you do that?"" the soldier was asked by his superior officer.""I know where he lives,"" he replied, ""and he wouldn't have made it.""",Political,1.0
1335,Q:What do you call something that is 12 inches long and hangs infront of an arsehole?A:Tony Blair's TIE!!,Political,0.8
1298,Question : What does a politician and a sperm have in common? Answer : Only one out of millions will become a human being.,Political,0.4
2877,"""Former President Bush parachuted with an Army Ranger holding him so he wouldn't get hurt on his 80th birthday. This is the same method they use when his son rides a bike."" Craig Kilborn",Political,0.0
94,"Bill and Hillary Clinton went out to dinner and when the waiter came to take their order, he asked Bill how he wanted his steak, she replied, ""medium."" Then the waiter said, ""how about your vegetable?"" Bill replied, ""Oh, she can order for herself.""",Political,0.7000000000000001
1337,why did they inventglow in the dark condoms?so gay people can play star wars.,Political,0.2
1265,"""Daddy,"" a little girl asked her father, ""do all fairy tales begin with 'Once upon a time'? """"No, sweetheart,"" he answered. ""Some begin with 'If I am elected.'""",Political,1.0
3362,What happens when a president gets elected in years ending with zero (which of course happens only every 20 years)?,Political,1.0
2878,"""I guess the people I feel worst for are Carter and Ford. Because they have to be watching all this thinking, we're not getting that."" Jon Stewart, on media coverage of Ronald Reagan's death",Political,0.0
2879,"""President Bush has returned after remembering D-Day. Or, as it was known in his house, report card day."" Jay Leno",Political,0.0
3343,"You remember the story about Lincoln and Kennedy and all the coincidences of their lives? Well, let's compare Clinton with the Titanic:",Political,1.0
3351,"From the law offices of Johnnie Cochrane, Esquire, here are the top ten proposed closing arguments in the matter of the United States v. William J. Clinton:",Political,1.0
3367,"WE, the people of Florida, are holding this election hostage. When YOU promise to stop sending us YOUR old people, we will release YOUR election.",Political,0.8
1325,"A reporter cornered George W. Bush at a press conference: ""Many say the only reason you were elected for President is due to the enormous power and influence of your father."" ""That notion is ridiculous!"" mocked George Jr. ""It doesn't matter how powerful the man is. He was only allowed to vote once!"" .",Political,0.4
1339,"Monica L. had taken some clothes in to be cleaned. The attendant was an old man, hard of hearing. She was telling the man what she wanted, and was holding a dress while talking. The old man put a hand up to his ear, and said, ""Come again?"" ""No,"" said Monica, ""It's mustard this time!""",Political,0.7000000000000001
3365,"In a bi-partisan move, President Bush nominated Dr. Hannibal Lecter as his candidate for US Surgeon General.",Political,0.4
1309,"Two terrorists are chatting. One of them opens his wallet and flips through pictures. ""you see, this is my oldest. He's a martyr. Here's my second son. He's a martyr, too."" The second terrorist says, gently,""Ah, they blow up so fast, don't they?""",Political,0.4
1289,"What do George Bush, Osama Bin Laden and Saddam Hussein have in common? English is their second language.",Political,1.0
3331,6 Presidents were on a sinking ship.,Political,0.8
3395,Following questions and answers were collated from recent British GCSE exams (16 year olds)!,School,0.4
3412,"Hello! You have reached the automated answering service of your school. In order to assist you in connecting the right staff member, please listen to all your options before making a selection:",School,0.8
786,"The girl was supposed to write a short story in as few words as possiblefor her college class and the instructions were that it had to discuss Religion, Sexuality and Mystery.She was the only one who receivedan A+ and this is what she wrote:Good God, I'm pregnant. I wonder who did it?",School,0.8
3402,Here is an explanation of the school homework policy:,School,0.2
3406,"Little Johnny was busy doing his homework. As his mother approached she heard: ""One and one, the son-of-a-bitch is two."" ""Two and two, the son-of-a-bitch is four."" ""Three and three... """,School,0.2
921,What do Michael and Catholic school nuns have in common? Both are a pain in the butt to kids.,School,0.5
1850,"A guy went into a bookshop and asked the salesgirl if she had a book called, ""How to Master Your Wife.""The salesgirl said, ""Our science fiction section is upstairs.""",Science,1.0
1693,Q: How many social scientists does it take to screw in a light bulb? A: They do not change light bulbs; they search for the root cause as to why the last one went out,Science,0.7000000000000001
2739,YOU KNOW YOU'VE BEEN DRINKING WAY TOO MUCH COFFEE WHEN.....,Science,1.0
2789,"Q: How many Christian Scientists does it take to screw in a light bulb? A: None, but it takes at least one to sit and pray for the old one to go back on.",Science,0.8
1916,Signs That You've Been Out Of College Too Long,Science,0.6000000000000001
1723,"Golfer: Notice any improvement since last year?Caddy: Polished your clubs, didn't you?Golfer: The doctor says I can't play golf.Caddy: Oh, he's played with you, too, huh?Golfer: ""Caddy, why didn't you see where that ball went?""Caddy: ""Well, it doesn't usually go anywhere, Mrs. Smith. You caught me off-guard.""",Sports,0.6000000000000001
3232,Lineup: Conscience is left behind at the gate. Jockey Shorts and Silk Panties are off in a hurry. Heavy Bosom is being pressured. Passionate Lady is caught by Thighs and Big Dick is in a dangerous spot!,Sports,0.8
497,"Two men are approaching each other on a sidewalk. Both are dragging their right foot as they walk. As they meet, one man looks at the other knowingly, points to his foot and says, ""Vietnam, 1969."" The other points his thumb behind him and says, ""Dog crap, 20 feet back.""",Sports,0.8500000000000001
2073,Q. Did you hear about the lawyer from Texas who was so big when he died that they couldn't find a coffin big enough to hold the body?A. They gave him an enema and buried him in a shoebox.,State Jokes,0.8
1481,Yo mama so fat that when she walks in high heels she strikes oil.,Yo Mama,0.6000000000000001
1428,"Your momma is so fat when a meteorite hit her she said ""Whose throwing pebbles?""",Yo Mama,0.2
1359,Yo mamma so fat she fell in love... and broke it.,Yo Mama,0.742
1430,Yo mama so stupid she tryed to drown a fish,Yo Mama,0.6000000000000001
1472,Yo mama stepped on a scale and it said one at a time please.,Yo Mama,0.8
1473,"Yo mama so fat that when god said let there be light, he asked her to move over",Yo Mama,1.0
1398,"Yo mamma's so poor when i asked her what for dinner she put her foot on the table and said corn.Yo mamma's so hairy, bigfoot took pictures of her!Yo mamma's so fat, she has every cateror on speed dial.",Yo Mama,0.666
1434,"What goes up, down, left, right, and all around?Your mama!",Yo Mama,0.2
1418,Yo mama so fat she's got as many chins as a chinese phonebook.,Yo Mama,0.4
1402,yo mama so dumb when someone told her to speak her mind she was speechless,Yo Mama,0.9
1343,Yo momma is so fat when she farts she can melt the ice on Pluto.,Yo Mama,0.44400000000000006
1380,Yo mama so fat she tripped over 4th Ave. and landed on 12th Ave,Yo Mama,0.934
1424,Your mama so fat that when she sat on a nitendo gamecube she changed it into a gameboy advance sp.,Yo Mama,0.8
1485,You need to keep your mama out of the trash she keeps getting it all over the place.,Yo Mama,0.2
1427,Yo mama is so ugly they moved halloween to her birthday,Yo Mama,0.6000000000000001
1422,yo mama so bald i can see what she thinkin,Yo Mama,1.0
1361,Yo mamma so fat that when she wants people to shake her hand she has to give directions.,Yo Mama,0.96
1391,"Yo mama's hair is so short, instead of using rollers to curl her hair she uses rice!",Yo Mama,0.534
1446,"Yo mama is so fat, when she jumps in the ocean with a blue swimsuit on the whales start singing ""We Are Family"".",Yo Mama,0.2
1452,"Yo mama is so fat, she entered an ugly contest and they said ""no perfesonals aloud!""",Yo Mama,0.8
1394,Yo mamma so fat I drove aroundd her and ran out of gas,Yo Mama,0.8
1368,Yo mamma so dumb she tripped over a chored-less phone.,Yo Mama,0.5
