Bot Name,Joke,Rating,Time
Ammar,"""So, here's a funny thing that happened to me...""Q: What did the COVID-19 virus say when it sneezed?
A: Achoo-a-rona!",6.5625,2023-06-19_04-06-11
Ammar,"""So, here's a funny thing that happened to me...""Q: What did the COVID-19 virus say when it sneezed?
A: Achoo-a-rona!",5.0,2023-06-19_04-06-11
Try AI to funny,My best joke is:  I don't write very often! I guess I still have a little room for improvement but,5.185714285714285,2023-06-19_04-06-11
Try AI to funny,My best joke is:  I don't write very often! I guess I still have a little room for improvement but,5.0,2023-06-19_04-06-11
Not funny,Why did the programmer get kicked out of school? Because he kept breaking the class.,7.571428571428571,2023-06-19_04-06-11
Not funny,Why did the programmer get kicked out of school? Because he kept breaking the class.,5.0,2023-06-19_04-06-11
Ammar,"""So, did you hear the one about...""Q: What did the pandemic say to the toilet paper?
A: You're looking roll-y good!",7.104166666666667,2023-06-19_04-08-10
Ammar,"""So, did you hear the one about...""Q: What did the pandemic say to the toilet paper?
A: You're looking roll-y good!",5.0,2023-06-19_04-08-10
Try AI to funny,My best joke is:  I don't know what I would say to a grown woman.  I'd rather,5.828571428571428,2023-06-19_04-08-10
Try AI to funny,My best joke is:  I don't know what I would say to a grown woman.  I'd rather,7.0,2023-06-19_04-08-10
Not funny,Why was the developer unhappy at their job? They wanted arrays.,6.842857142857143,2023-06-19_04-08-10
Not funny,Why was the developer unhappy at their job? They wanted arrays.,2.0,2023-06-19_04-08-10
Ammar,"""Hey, I've got a great joke for you!""Q: What did the stock market say when the Fed cut interest rates?
A: It's about time!",10.0,2023-06-19_04-09-00
Ammar,"""Hey, I've got a great joke for you!""Q: What did the stock market say when the Fed cut interest rates?
A: It's about time!",5.0,2023-06-19_04-09-00
Try AI to funny,"My best joke is: 』

But, no, it seems that you're probably too dumb for that.
",1.1285714285714286,2023-06-19_04-09-00
Try AI to funny,"My best joke is: 』

But, no, it seems that you're probably too dumb for that.
",7.0,2023-06-19_04-09-00
Not funny,Why don't programmers like nature? It has too many bugs.,7.371428571428572,2023-06-19_04-09-00
Not funny,Why don't programmers like nature? It has too many bugs.,7.5,2023-06-19_04-09-00
Ammar,"""So, I heard a funny joke the other day...""Q: What did the ocean say to the beach?
A: Nothing, it just waved.",5.3125,2023-06-19_04-09-35
Ammar,"""So, I heard a funny joke the other day...""Q: What did the ocean say to the beach?
A: Nothing, it just waved.",5.0,2023-06-19_04-09-35
Try AI to funny,"My best joke is:  If a kid's not happy with what they are doing, they will not get on a",4.6571428571428575,2023-06-19_04-09-35
Try AI to funny,"My best joke is:  If a kid's not happy with what they are doing, they will not get on a",5.0,2023-06-19_04-09-35
Not funny,Why don't scientists trust atoms? Because they make up everything!,7.957142857142857,2023-06-19_04-09-35
Not funny,Why don't scientists trust atoms? Because they make up everything!,5.0,2023-06-19_04-09-35
Ammar,"""Hey everyone, I've got a great joke for you!""Q: Why did the chicken cross the road during the pandemic?
A: To get to the other side... of the Zoom call",5.34375,2023-06-19_04-10-36
Ammar,"""Hey everyone, I've got a great joke for you!""Q: Why did the chicken cross the road during the pandemic?
A: To get to the other side... of the Zoom call",5.0,2023-06-19_04-10-36
Try AI to funny,"My best joke is: _____________________________ If something doesn't go right in a post, I want people to tell their friends",4.471428571428572,2023-06-19_04-10-36
Try AI to funny,"My best joke is: _____________________________ If something doesn't go right in a post, I want people to tell their friends",5.0,2023-06-19_04-10-36
Not funny,Why don't programmers like nature? It has too many bugs.,7.371428571428572,2023-06-19_04-10-36
Not funny,Why don't programmers like nature? It has too many bugs.,7.5,2023-06-19_04-10-36
Ammar,"""So, here's a funny story...""Q: What did the coronavirus say when it entered the bar?
A: Nothing, it was socially distanced!",5.729166666666666,2023-06-19_04-11-06
Ammar,"""So, here's a funny story...""Q: What did the coronavirus say when it entered the bar?
A: Nothing, it was socially distanced!",5.0,2023-06-19_04-11-06
Try AI to funny,My best joke is:  There is a certain level of confidence and not anywhere else or I don,3.928571428571429,2023-06-19_04-11-06
Try AI to funny,My best joke is:  There is a certain level of confidence and not anywhere else or I don,5.0,2023-06-19_04-11-06
Not funny,"Why don't we tell secrets on a farm? Because the potatoes have eyes, the corn has ears, and the beans stalk.",7.142857142857143,2023-06-19_04-11-06
Not funny,"Why don't we tell secrets on a farm? Because the potatoes have eyes, the corn has ears, and the beans stalk.",5.0,2023-06-19_04-11-06
Ammar,"""So I heard a funny joke the other day...""Q: What did the market say when it saw the new stimulus package?
A: It's about time!",5.492424242424242,2023-06-19_04-11-38
Ammar,"""So I heard a funny joke the other day...""Q: What did the market say when it saw the new stimulus package?
A: It's about time!",5.0,2023-06-19_04-11-38
Try AI to funny,My best joke is: _______ _______ _______ _______ ______ ______ ______ ______ ______ ______ ______ ______ ______ ______ ______ ______,1.542857142857143,2023-06-19_04-11-38
Try AI to funny,My best joke is: _______ _______ _______ _______ ______ ______ ______ ______ ______ ______ ______ ______ ______ ______ ______ ______,5.0,2023-06-19_04-11-38
Not funny,Why did the programmer get kicked out of school? Because he kept breaking the class.,7.714285714285714,2023-06-19_04-11-38
Not funny,Why did the programmer get kicked out of school? Because he kept breaking the class.,5.0,2023-06-19_04-11-38
Ammar,"""So, I heard this one...!""Q: What did the coronavirus say when it sneezed?
A: Achoo! Stay six feet away!",5.0,2023-06-19_04-12-13
Ammar,"""So, I heard this one...!""Q: What did the coronavirus say when it sneezed?
A: Achoo! Stay six feet away!",5.0,2023-06-19_04-12-13
Try AI to funny,"My best joke is:  That's a lot of 'em, too. We'll start with the two main characters",4.971428571428571,2023-06-19_04-12-13
Try AI to funny,"My best joke is:  That's a lot of 'em, too. We'll start with the two main characters",5.0,2023-06-19_04-12-13
Not funny,Why did the chicken go to the seance? To talk to the other side!,7.285714285714286,2023-06-19_04-12-13
Not funny,Why did the chicken go to the seance? To talk to the other side!,3.109375,2023-06-19_04-12-13
Ammar,"""So, here's a joke for ya...""Q: Why did the chicken cross the road during the pandemic? 
A: To get to the supermarket before it sold out of",3.5,2023-06-19_04-13-30
Ammar,"""So, here's a joke for ya...""Q: Why did the chicken cross the road during the pandemic? 
A: To get to the supermarket before it sold out of",5.0,2023-06-19_04-13-30
Try AI to funny,"My best joke is:  I'm trying to write an article for a magazine that I hope can help others, but",6.228571428571429,2023-06-19_04-13-30
Try AI to funny,"My best joke is:  I'm trying to write an article for a magazine that I hope can help others, but",5.0,2023-06-19_04-13-30
Not funny,Why did the programmer refuse to play cards with the jungle cat? Because he was afraid of Cheetahs.,7.471428571428571,2023-06-19_04-13-30
Not funny,Why did the programmer refuse to play cards with the jungle cat? Because he was afraid of Cheetahs.,2.0,2023-06-19_04-13-30
Ammar,"""Hey everyone, I've got a great joke for you!""Q: What did the ocean say to the beach?
A: Nothing, it just waved.",10.0,2023-06-19_04-14-07
Ammar,"""Hey everyone, I've got a great joke for you!""Q: What did the ocean say to the beach?
A: Nothing, it just waved.",5.0,2023-06-19_04-14-07
Try AI to funny,"My best joke is:  I think it probably could have been written to stop me fucking, but since I had a",2.557142857142857,2023-06-19_04-14-07
Try AI to funny,"My best joke is:  I think it probably could have been written to stop me fucking, but since I had a",5.0,2023-06-19_04-14-07
Not funny,Why did the chicken go to the seance? To talk to the other side!,7.142857142857143,2023-06-19_04-14-07
Not funny,Why did the chicken go to the seance? To talk to the other side!,3.109375,2023-06-19_04-14-07
Ammar,"""Hey everyone, I've got a great joke for you!""Q: What did the light say to the dark?
A: ""It's so nice to meet you!""",7.5,2023-06-21_07-09-42
Ammar,"""Hey everyone, I've got a great joke for you!""Q: What did the light say to the dark?
A: ""It's so nice to meet you!""",5.0,2023-06-21_07-09-42
Try AI to funny,My best joke is:  that every so often my mind wanders across a scene with so much complexity and magic that,4.9818181818181815,2023-06-21_07-09-42
Try AI to funny,My best joke is:  that every so often my mind wanders across a scene with so much complexity and magic that,5.0,2023-06-21_07-09-42
Not funny,Why was the developer unhappy at their job? They wanted arrays.,6.172727272727273,2023-06-21_07-09-42
Not funny,Why was the developer unhappy at their job? They wanted arrays.,2.0,2023-06-21_07-09-42
Ammar,"""So get ready to laugh, because here's a good one...""Q: What did the democratic donkey say?
A: Nothing, he just voted!",7.291666666666666,2023-06-21_07-17-38
Ammar,"""So get ready to laugh, because here's a good one...""Q: What did the democratic donkey say?
A: Nothing, he just voted!",5.0,2023-06-21_07-17-38
Try AI to funny,"My best joke is:  ""I'm a huge fan of the movie, and I don't realize I'm going",5.127272727272727,2023-06-21_07-17-38
Try AI to funny,"My best joke is:  ""I'm a huge fan of the movie, and I don't realize I'm going",7.0,2023-06-21_07-17-38
Not funny,Why did the chicken go to the seance? To talk to the other side!,7.727272727272727,2023-06-21_07-17-38
Not funny,Why did the chicken go to the seance? To talk to the other side!,3.109375,2023-06-21_07-17-38
Ammar,"""So, here's a joke I heard the other day...""Q: Why did the Englishman cross the Atlantic?
A: To get to the other queue.",4.583333333333333,2023-06-21_07-18-52
Ammar,"""So, here's a joke I heard the other day...""Q: Why did the Englishman cross the Atlantic?
A: To get to the other queue.",5.0,2023-06-21_07-18-52
Try AI to funny,"My best joke is:  ""Well, I can't take a walk today!""
Another thing about your book:",4.354545454545455,2023-06-21_07-18-52
Try AI to funny,"My best joke is:  ""Well, I can't take a walk today!""
Another thing about your book:",5.0,2023-06-21_07-18-52
Not funny,Why did the programmer refuse to play cards with the jungle cat? Because he was afraid of Cheetahs.,7.845454545454545,2023-06-21_07-18-52
Not funny,Why did the programmer refuse to play cards with the jungle cat? Because he was afraid of Cheetahs.,2.0,2023-06-21_07-18-52
Ammar,"""So, I heard a joke the other day that might make you laugh...""Q: What did the ghost say to the other ghost?
A: ""Boo, who?""",5.083333333333333,2023-06-21_20-50-07
Ammar,"""So, I heard a joke the other day that might make you laugh...""Q: What did the ghost say to the other ghost?
A: ""Boo, who?""",5.0,2023-06-21_20-50-07
Try AI to funny,My best joke is:  I want to eat with all of my legs amputitated and that will be the one thing,4.672727272727273,2023-06-21_20-50-07
Try AI to funny,My best joke is:  I want to eat with all of my legs amputitated and that will be the one thing,5.0,2023-06-21_20-50-07
Not funny,Why did the programmer refuse to play cards with the jungle cat? Because he was afraid of Cheetahs.,7.936363636363636,2023-06-21_20-50-07
Not funny,Why did the programmer refuse to play cards with the jungle cat? Because he was afraid of Cheetahs.,2.0,2023-06-21_20-50-07
Ammar,"""Hey everyone, I've got a great joke for you!""Q: What did the adult say when he was told to act his age?
A: I am acting my age, why can't you",6.833333333333334,2023-06-21_20-51-19
Ammar,"""Hey everyone, I've got a great joke for you!""Q: What did the adult say when he was told to act his age?
A: I am acting my age, why can't you",5.0,2023-06-21_20-51-19
Try AI to funny,"My best joke is:  that he was an all-star wrestler, and we're not talking about the guy who",5.8,2023-06-21_20-51-19
Try AI to funny,"My best joke is:  that he was an all-star wrestler, and we're not talking about the guy who",5.0,2023-06-21_20-51-19
Not funny,Why do programmers always mix up Christmas and Halloween? Because Oct 31 == Dec 25!,8.181818181818182,2023-06-21_20-51-19
Not funny,Why do programmers always mix up Christmas and Halloween? Because Oct 31 == Dec 25!,5.0,2023-06-21_20-51-19
Ammar,"""So, get ready for a good laugh, because here's a joke...""Q: What did the athlete say when he won the race?
A: I'm the champion!",7.125,2023-06-21_20-55-59
Ammar,"""So, get ready for a good laugh, because here's a joke...""Q: What did the athlete say when he won the race?
A: I'm the champion!",5.0,2023-06-21_20-55-59
Try AI to funny,"My best joke is:  The people who were the most angry, we know, are the ones who don't want",5.445454545454545,2023-06-21_20-55-59
Try AI to funny,"My best joke is:  The people who were the most angry, we know, are the ones who don't want",5.0,2023-06-21_20-55-59
Not funny,Why did the web developer go broke? Because he didn't get enough cache.,6.8090909090909095,2023-06-21_20-55-59
Not funny,Why did the web developer go broke? Because he didn't get enough cache.,5.0,2023-06-21_20-55-59
Ammar,"""So, here's a joke for you...""Knock knock!
Who's there?
Boo.
Boo who?
Don't cry, it's just a joke!",5.0,2023-06-21_20-57-52
Ammar,"""So, here's a joke for you...""Knock knock!
Who's there?
Boo.
Boo who?
Don't cry, it's just a joke!",5.0,2023-06-21_20-57-52
Try AI to funny,"My best joke is:  I'd start over the rest of the campaign with a very short, very vague version.",6.209090909090909,2023-06-21_20-57-52
Try AI to funny,"My best joke is:  I'd start over the rest of the campaign with a very short, very vague version.",5.0,2023-06-21_20-57-52
Not funny,"I would tell you a joke about time travel, but you didn't like it.",5.427272727272728,2023-06-21_20-57-52
Not funny,"I would tell you a joke about time travel, but you didn't like it.",5.0,2023-06-21_20-57-52
Ammar,"""So, here's a funny story...""Q: What did the adult say when he was asked to act his age?
A: I'll grow into it.",5.875,2023-06-21_21-01-00
Ammar,"""So, here's a funny story...""Q: What did the adult say when he was asked to act his age?
A: I'll grow into it.",5.0,2023-06-21_21-01-00
Try AI to funny,"My best joke is: icky.


The new show is so awesome... The first part of that promo video is",4.072727272727272,2023-06-21_21-01-00
Try AI to funny,"My best joke is: icky.


The new show is so awesome... The first part of that promo video is",5.0,2023-06-21_21-01-00
Not funny,"Why don't we tell secrets on a farm? Because the potatoes have eyes, the corn has ears, and the beans stalk.",7.090909090909091,2023-06-21_21-01-00
Not funny,"Why don't we tell secrets on a farm? Because the potatoes have eyes, the corn has ears, and the beans stalk.",5.0,2023-06-21_21-01-00
